Counterion
[O]
[N]
OS(O)(=O)=O
OS(=O)(O)=O
O=S(O)(O)=O
OS(=O)(=O)O
O=S(O)(=O)O
O=S(=O)(O)O
OP(O)(O)=O
OP(O)(=O)O
OP(=O)(O)O
O=P(O)(O)O
O[N](O)=O
O[N](=O)O
O=[N](O)O
